name,symptom,drug
肺泡蛋白质沉积症,"['紫绀', '胸痛', '呼吸困难', '乏力', '毓卓']",[]
百日咳,"['吸气时有蝉鸣音', '痉挛性咳嗽', '胸闷', '肺阴虚', '抽搐', '低热', '闫鹏辉', '惊厥']","['琥乙红霉素片', '琥乙红霉素颗粒', '百咳静糖浆', '穿心莲内酯片', '红霉素肠溶片', '环酯红霉素片']"
苯中毒,"['恶心', '抽搐', '感觉障碍']","['布美他尼片', '十一味金色丸', '注射用布美他尼', '注射用呋塞米', '盐酸利多卡因注射液', '注射用硫代硫酸钠', '大月晶丸', '仁青芒觉', '注射用鼠神经生长因子', '地塞米松磷酸钠注射液']"
喘息样支气管炎,"['耸肩喘息', '哮鸣音', '纤毛上皮细胞损伤脱落', '变应性咳嗽', '化学性支气管炎', '喘息', '冬春季的慢性咳...', '咳嗽伴哮鸣音']","['枸橼酸喷托维林片', '氨茶碱片', '二羟丙茶碱片', '胸腺肽肠溶片', '硫酸沙丁胺醇气雾剂', '小青龙合剂', '硫酸沙丁胺醇片', '蛇胆川贝液', '小青龙颗粒', '布地奈德气雾剂', '喷托维林氯化铵糖浆']"
成人呼吸窘迫综合征,"['呼吸困难', '紫绀', '心源性呼吸窘迫']","['注射用还原型谷胱甘肽钠', '注射用盐酸氨溴索', '人血白蛋白', '盐酸氨溴索葡萄糖注射液']"
大量羊水吸入,"['面色青紫', '呼吸困难', '口唇青紫', '肺纹理增粗', '出生后即有持续青紫', '口唇和甲床略带青紫', '气急']",[]
单纯性肺嗜酸粒细胞浸润症,"['嗜酸性粒细胞增多', '咽部异物感', '胸闷憋气', '咯血伴发热', '胸闷', '乏力']","['注射用盐酸头孢替安', '注射用磺苄西林钠', '托西酸舒他西林胶囊', '头孢泊肟酯胶囊', '头孢氨苄甲氧苄啶片']"
大叶性肺炎,"['湿啰音', '胸痛', '发烧', '咳铁锈色痰', '急性面容', '呼吸音减弱']","['阿奇霉素胶囊', '阿奇霉素分散片', '诺氟沙星胶囊', '阿奇霉素片', '乳酸左氧氟沙星片']"
大楼病综合征,"['紧张性头晕', '紧张性头痛', '间歇性头晕', '鼻塞', '头晕', '恶心', '眼睛痒', '目赤', '间歇性头痛']","['注射用盐酸溴己新', '云南花粉片']"
二硫化碳中毒,"['昏迷', '腱反射消失', '呕吐', '谵妄', '多发性神经炎', '浅感觉减退或缺失', '恶心', '感觉障碍']","['布美他尼片', '十一味金色丸', '注射用布美他尼', '注射用呋塞米', '盐酸利多卡因注射液', '注射用硫代硫酸钠', '大月晶丸', '仁青芒觉', '注射用鼠神经生长因子', '地塞米松磷酸钠注射液']"
肺-胸膜阿米巴病,"['盗汗', '腹泻', '乏力', '发热伴咳嗽、咯...']","['甲硝唑片', '甲硝唑维B6片', '替硝唑片', '奥硝唑片']"
