Symptom,commonDrug
紫绀,人血白蛋白
紫绀,注射用还原型谷胱甘肽钠
紫绀,乳酸左氧氟沙星片
紫绀,阿奇霉素片
紫绀,注射用生长抑素
紫绀,沙格列汀片
紫绀,吡非尼酮胶囊
紫绀,注射用甲磺酸帕珠沙星
紫绀,醋酸泼尼松片
紫绀,清热消炎宁片
紫绀,盐酸氨溴索葡萄糖注射液
紫绀,猪肺磷脂注射液
紫绀,抗栓胶囊
紫绀,曲克芦丁片
紫绀,芪芳气血颗粒
紫绀,归圆口服液
紫绀,琥乙红霉素咀嚼片
紫绀,琥乙红霉素咀嚼片
紫绀,肝爽颗粒
紫绀,维肝福泰片
紫绀,季德胜蛇药片
紫绀,秘诀清凉散
紫绀,地奥司明片
紫绀,脉络舒通颗粒
紫绀,二十五味松石丸
紫绀,维生素C片
紫绀,巴氯芬片
紫绀,注射用腺苷钴胺
紫绀,富马酸酮替芬片
紫绀,氨茶碱片
紫绀,注射用过氧化碳酰胺
紫绀,依托红霉素片
紫绀,依托红霉素颗粒
紫绀,甲硝唑氯己定软膏
紫绀,盐酸左氧氟沙星胶囊
紫绀,片仔癀胶囊
紫绀,依托红霉素片
紫绀,红霉素肠溶胶囊
紫绀,醋酸泼尼松片
紫绀,清热消炎宁片
紫绀,吡非尼酮胶囊
紫绀,注射用甲磺酸帕珠沙星
紫绀,呋塞米片
紫绀,氨茶碱片
紫绀,醋酸泼尼松片
紫绀,清热消炎宁片
紫绀,蹄鞘胶囊
紫绀,乳酸左氧氟沙星片
紫绀,阿奇霉素片
紫绀,布美他尼片
紫绀,十一味金色丸
紫绀,乳酸左氧氟沙星片
紫绀,阿奇霉素片
紫绀,呋塞米片
紫绀,硫酸阿托品注射液
紫绀,依托红霉素片
紫绀,依托红霉素颗粒
紫绀,蛤蚧定喘丸
紫绀,氨茶碱片
紫绀,维生素C咀嚼片
紫绀,维生素C片
胸痛,乳酸左氧氟沙星片
胸痛,阿奇霉素片
胸痛,乳酸左氧氟沙星片
胸痛,阿奇霉素片
胸痛,乳酸左氧氟沙星片
胸痛,阿奇霉素片
胸痛,阿奇霉素片
胸痛,阿奇霉素分散片
胸痛,头孢氨苄胶囊
胸痛,盐酸左氧氟沙星胶囊
胸痛,阿莫西林克拉维酸钾(4:1)分散片
胸痛,回生甘露丸
胸痛,双嘧达莫片
胸痛,注射用尿激酶
胸痛,注射用盐酸头孢替安
胸痛,托西酸舒他西林胶囊
胸痛,醋酸泼尼松片
胸痛,清热消炎宁片
胸痛,注射用鼠神经生长因子
胸痛,布美他尼片
胸痛,吡非尼酮胶囊
胸痛,注射用甲磺酸帕珠沙星
胸痛,羧甲司坦片
胸痛,小儿珍贝散
胸痛,黄根片
胸痛,异烟肼片
胸痛,克拉霉素胶囊
胸痛,红霉素肠溶片
胸痛,维生素E软胶囊
胸痛,心肝宝胶囊
胸痛,盐酸艾司洛尔注射液
胸痛,赖诺普利片
胸痛,双嘧达莫片
