Symptom,doeatFood
紫绀,莲子
紫绀,生菜
紫绀,山药
紫绀,空心菜
紫绀,鸡蛋黄
紫绀,芝麻
紫绀,南瓜子仁
紫绀,栗子（熟）
紫绀,鸡蛋
紫绀,芝麻
紫绀,南瓜子仁
紫绀,栗子（熟）
紫绀,芝麻
紫绀,南瓜子仁
紫绀,栗子（熟）
紫绀,葵花子仁
紫绀,鹿肉
紫绀,鸡蛋清
紫绀,鸡蛋
紫绀,鸭肉
紫绀,鹿肉
紫绀,鸭肝
紫绀,南瓜子仁
紫绀,栗子（熟）
紫绀,鹿肉
紫绀,鸭肝
紫绀,南瓜子仁
紫绀,栗子（熟）
紫绀,松子（炒）
紫绀,南瓜子仁
紫绀,莲子
紫绀,栗子（熟）
紫绀,松子（炒）
紫绀,南瓜子仁
紫绀,莲子
紫绀,栗子（熟）
紫绀,杏仁
紫绀,南瓜子仁
紫绀,莲子
紫绀,栗子（熟）
紫绀,鸡蛋
紫绀,杏仁
紫绀,南瓜子仁
紫绀,莲子
紫绀,赤砂糖
紫绀,赤砂糖
紫绀,杏仁
紫绀,桃仁
紫绀,鸡蛋
紫绀,杏仁
紫绀,南瓜子仁
紫绀,莲子
紫绀,鹿肉
紫绀,南瓜子仁
紫绀,莲子
紫绀,栗子（熟）
紫绀,鹿肉
紫绀,南瓜子仁
紫绀,莲子
紫绀,栗子（熟）
紫绀,鹿肉
紫绀,鸡蛋
紫绀,南瓜子仁
紫绀,莲子
紫绀,鹿肉
紫绀,南瓜子仁
紫绀,莲子
紫绀,栗子（熟）
紫绀,鹿肉
紫绀,南瓜子仁
紫绀,莲子
紫绀,栗子（熟）
紫绀,鹿肉
紫绀,鸡心
紫绀,南瓜子仁
紫绀,莲子
紫绀,鹿肉
紫绀,芝麻
紫绀,南瓜子仁
紫绀,栗子（熟）
紫绀,鹿肉
紫绀,南瓜子仁
紫绀,栗子（熟）
紫绀,葵花子仁
紫绀,鹿肉
紫绀,南瓜子仁
紫绀,栗子（熟）
紫绀,葵花子仁
紫绀,鹿肉
紫绀,鸡蛋
紫绀,鹅肝
紫绀,南瓜子仁
紫绀,鸭肝
紫绀,芝麻
紫绀,腰果
紫绀,南瓜子仁
紫绀,鹿肉
紫绀,蜂蜜
紫绀,鸭肉
紫绀,鹅肉
紫绀,鹿肉
紫绀,鸡心
紫绀,栗子（熟）
紫绀,葵花子仁
紫绀,鹿肉
紫绀,鸡蛋
紫绀,鸽蛋
紫绀,鸡心
紫绀,鹿肉
紫绀,鸡蛋
紫绀,桃仁
紫绀,南瓜子仁
紫绀,腰果
紫绀,南瓜子仁
紫绀,莲子
紫绀,葵花子仁
紫绀,鸡蛋
