Symptom,noteatFood
紫绀,啤酒
紫绀,白酒
紫绀,洋葱
紫绀,辣椒(红、尖、干)
紫绀,麦芽糖
紫绀,赤砂糖
紫绀,白砂糖
紫绀,啤酒
紫绀,白扁豆
紫绀,猪油（板油）
紫绀,猪小排（猪肋排）
紫绀,猪里脊肉
紫绀,白扁豆
紫绀,猪油（板油）
紫绀,猪小排（猪肋排）
紫绀,猪里脊肉
紫绀,白扁豆
紫绀,猪油（板油）
紫绀,猪小排（猪肋排）
紫绀,猪肉(肥瘦)
紫绀,甜杏仁
紫绀,白扁豆
紫绀,鲮鱼罐头
紫绀,猪油（板油）
紫绀,啤酒
紫绀,白酒
紫绀,白扁豆
紫绀,鲮鱼罐头
紫绀,咸鸭蛋
紫绀,鸡肝
紫绀,腐竹
紫绀,白扁豆
紫绀,咸鸭蛋
紫绀,鸡肝
紫绀,杏仁
紫绀,腐竹
紫绀,啤酒
紫绀,白酒
紫绀,咸鸭蛋
紫绀,杏仁
紫绀,啤酒
紫绀,杏仁
紫绀,松子仁
紫绀,核桃
紫绀,杏仁
紫绀,松子仁
紫绀,核桃
紫绀,虾皮
紫绀,啤酒
紫绀,杏仁
紫绀,松子仁
紫绀,核桃
紫绀,白酒
紫绀,咸鸭蛋
紫绀,鸡蛋黄
紫绀,鸡肝
紫绀,咸鸭蛋
紫绀,鸡蛋黄
紫绀,鸡肝
紫绀,杏仁
紫绀,咸鸭蛋
紫绀,鸡蛋黄
紫绀,鸡肝
紫绀,杏仁
紫绀,冰糖
紫绀,啤酒
紫绀,白酒
紫绀,鸡肝
紫绀,鸡肝
紫绀,杏仁
紫绀,白扁豆
紫绀,银鱼
紫绀,冰糖
紫绀,鸡蛋黄
紫绀,鸡肝
紫绀,白扁豆
紫绀,白酒
紫绀,鸡肝
紫绀,杏仁
紫绀,白扁豆
紫绀,鸡肝
紫绀,杏仁
紫绀,白扁豆
紫绀,银鱼
紫绀,鸡肝
紫绀,杏仁
紫绀,白扁豆
紫绀,羊油
紫绀,鸡肝
紫绀,杏仁
紫绀,白扁豆
紫绀,银鱼
紫绀,啤酒
紫绀,白酒
紫绀,杏仁
紫绀,绿豆
紫绀,啤酒
紫绀,白酒
紫绀,鹌鹑蛋
紫绀,鸡腿
紫绀,啤酒
紫绀,白酒
紫绀,杏仁
紫绀,南瓜子仁
紫绀,干腌菜
紫绀,啤酒
紫绀,白酒
紫绀,杏仁
紫绀,干腌菜
紫绀,芝麻
紫绀,杏仁
紫绀,油豆腐
紫绀,乌骨鸡
紫绀,芝麻
紫绀,杏仁
紫绀,松子仁
紫绀,白酒
紫绀,咸鸭蛋
紫绀,腐竹
紫绀,白扁豆
紫绀,啤酒
紫绀,杏仁
紫绀,腐竹
紫绀,草鱼
紫绀,糖桂花
紫绀,啤酒
紫绀,黄酒
紫绀,白酒
紫绀,啤酒
紫绀,黄酒
紫绀,白酒
紫绀,鸡心
紫绀,干腌菜
紫绀,白酒
紫绀,咸鸭蛋
紫绀,鹅肉
紫绀,啤酒
紫绀,白酒
紫绀,咸鸭蛋
紫绀,鸭血(白鸭)
紫绀,啤酒
紫绀,白酒
紫绀,杏仁
紫绀,腐竹
紫绀,干腌菜
紫绀,咸鸭蛋
紫绀,油豆腐
紫绀,羊油
紫绀,啤酒
紫绀,红葡萄酒
紫绀,白酒
紫绀,杏仁
紫绀,啤酒
紫绀,红葡萄酒
紫绀,白酒
紫绀,鸭血(白鸭)
紫绀,啤酒
紫绀,红葡萄酒
紫绀,白酒
紫绀,螃蟹
紫绀,白酒
紫绀,腐竹
紫绀,白扁豆
紫绀,螃蟹
紫绀,油条
紫绀,猪油（板油）
紫绀,洋葱
紫绀,香椿
紫绀,啤酒
紫绀,白酒
紫绀,松子仁
紫绀,核桃
紫绀,白酒
紫绀,鸭蛋
紫绀,鸭血(白鸭)
紫绀,鸭肉
紫绀,鸡肝
紫绀,腐竹
紫绀,白扁豆
紫绀,田螺
紫绀,咸鸭蛋
紫绀,鸭肝
紫绀,鸡肝
紫绀,花生仁（炸）
紫绀,啤酒
紫绀,江米酒
紫绀,黄酒
紫绀,白酒
紫绀,鹌鹑蛋
紫绀,鸡腿
紫绀,鸡肉
紫绀,杏仁
胸痛,洋葱
胸痛,辣椒(青、尖)
胸痛,辣椒(红、尖、干)
胸痛,韭菜
胸痛,啤酒
胸痛,白酒
胸痛,洋葱
胸痛,韭菜
胸痛,白酒
胸痛,洋葱
胸痛,辣椒(红、尖、干)
胸痛,大蒜
胸痛,啤酒
胸痛,白酒
胸痛,辣椒(红、尖、干)
胸痛,咖啡
胸痛,鱼腥草
胸痛,洋葱
胸痛,香菜
胸痛,辣椒(青、尖)
胸痛,海蟹
胸痛,海虾
胸痛,海螺
胸痛,海参
胸痛,海蟹
胸痛,海虾
胸痛,狗肉
胸痛,鱼腥草
胸痛,啤酒
胸痛,白酒
胸痛,杏仁
胸痛,腐竹
胸痛,白扁豆
胸痛,海虾
胸痛,猪油（板油）
胸痛,猪小排（猪肋排）
胸痛,白扁豆
胸痛,猪油（板油）
胸痛,猪小排（猪肋排）
胸痛,猪里脊肉
